,date_only,Abstract Polarity
4930,2021-05-17,0.5
4946,2021-05-18,0.5
4967,2021-05-19,0.55
4992,2021-05-20,-0.5
5018,2021-05-21,0.75
5044,2021-05-22,0.4
5049,2021-05-23,-0.33333333333333337
5062,2021-05-24,0.7
5080,2021-05-25,0.8
5094,2021-05-26,0.5
5104,2021-05-27,0.5
5138,2021-05-28,0.6
5160,2021-05-29,0.5
5172,2021-05-30,-0.3
5177,2021-05-31,0.55
5186,2021-06-01,0.3
5207,2021-06-02,0.5
5233,2021-06-03,0.35
5244,2021-06-04,-0.6
5274,2021-06-05,0.29000000000000004
5279,2021-06-06,0.337037037037037
5285,2021-06-07,0.5
5313,2021-06-08,1.0
5317,2021-06-09,-0.6
5338,2021-06-10,0.5
5382,2021-06-11,-0.5
5386,2021-06-12,0.4000000000000001
5395,2021-06-13,-0.3
5403,2021-06-14,0.5
5424,2021-06-15,0.6
5452,2021-06-16,0.5
5472,2021-06-17,0.28354978354978355
5483,2021-06-18,0.8
5502,2021-06-19,0.7
5508,2021-06-20,-0.3333333333333333
5519,2021-06-21,-0.7
5543,2021-06-22,0.55
5560,2021-06-23,0.35
5574,2021-06-24,0.5
5593,2021-06-25,0.4
5597,2021-06-26,-0.5
5606,2021-06-27,0.3
5610,2021-06-28,-0.4
5626,2021-06-29,0.7
5634,2021-06-30,0.16666666666666669
5653,2021-07-01,0.5
5668,2021-07-02,0.9
5696,2021-07-03,0.5
5698,2021-07-04,0.5
5705,2021-07-05,0.25
5708,2021-07-06,0.5
5728,2021-07-07,0.25
5738,2021-07-08,-0.30625
5751,2021-07-09,0.5
5773,2021-07-10,0.375
5780,2021-07-11,1.0
5794,2021-07-12,0.3
5797,2021-07-13,0.5
5822,2021-07-14,0.5
5840,2021-07-15,0.65
5856,2021-07-16,0.5
5880,2021-07-17,0.5
5887,2021-07-18,-0.5
5892,2021-07-19,0.5
5929,2021-07-20,0.6
5947,2021-07-21,0.2590909090909091
5969,2021-07-22,0.5
6003,2021-07-23,0.7
6036,2021-07-24,-0.6
6048,2021-07-25,0.5
6057,2021-07-26,0.55
6081,2021-07-27,0.65
6109,2021-07-28,-0.3125
6140,2021-07-29,0.3666666666666667
6167,2021-07-30,0.5
6184,2021-07-31,0.36363636363636365
6189,2021-08-01,-0.34090909090909094
6204,2021-08-02,0.5
6215,2021-08-03,0.5
6242,2021-08-04,0.5
6270,2021-08-05,0.65
6289,2021-08-06,-1.0
6305,2021-08-07,0.25
6314,2021-08-08,-0.33333333333333326
6328,2021-08-09,0.55
6347,2021-08-10,0.5
6362,2021-08-11,0.5
6394,2021-08-12,-1.0
6429,2021-08-13,0.475
6433,2021-08-14,0.5
6440,2021-08-15,0.5
6442,2021-08-16,0.8
6476,2021-08-17,0.35000000000000003
6478,2021-08-18,0.5
6507,2021-08-19,0.5
6530,2021-08-20,0.8
6541,2021-08-21,0.09999999999999998
6549,2021-08-22,-0.5
6566,2021-08-23,-0.6999999999999998
6573,2021-08-24,0.425
6595,2021-08-25,-0.5
6607,2021-08-26,1.0
6633,2021-08-27,0.5
6644,2021-08-28,0.2111111111111111
6647,2021-08-29,-0.4
6658,2021-08-30,-0.3333333333333333
6680,2021-08-31,0.65
6705,2021-09-01,0.8
6721,2021-09-02,0.8
6743,2021-09-03,-0.65
6748,2021-09-04,-0.13333333333333333
6754,2021-09-05,-0.31574074074074077
6761,2021-09-06,0.5285714285714286
6769,2021-09-07,0.6
6781,2021-09-08,-1.0
6798,2021-09-09,-1.0
6840,2021-09-10,-0.6
6851,2021-09-11,0.375
6859,2021-09-12,0.6
6875,2021-09-13,-1.0
6894,2021-09-14,0.25
6908,2021-09-15,0.19999999999999998
6925,2021-09-16,1.0
6933,2021-09-17,0.4
6951,2021-09-18,-0.2
6959,2021-09-19,0.125
6967,2021-09-20,0.6
6987,2021-09-21,0.6
7018,2021-09-22,0.7
7046,2021-09-23,0.10833333333333332
7064,2021-09-24,-0.5
7081,2021-09-25,-0.5
7085,2021-09-26,-0.18181818181818182
7092,2021-09-27,0.75
7105,2021-09-28,0.55
7124,2021-09-29,0.65
7132,2021-09-30,-0.3
7148,2021-10-01,-0.7
7155,2021-10-02,0.13333333333333333
7158,2021-10-03,-0.4
7170,2021-10-04,0.5
7192,2021-10-05,0.5
7202,2021-10-06,0.32323232323232326
7210,2021-10-07,0.6
7254,2021-10-08,0.7
7260,2021-10-09,0.5
7265,2021-10-10,0.15000000000000002
7272,2021-10-11,-0.7142857142857143
7283,2021-10-12,-0.5
7302,2021-10-13,-0.30000000000000004
7313,2021-10-14,0.5
7338,2021-10-15,-0.7
7347,2021-10-16,-0.19583333333333336
7351,2021-10-17,0.1111111111111111
7357,2021-10-18,0.25
7372,2021-10-19,0.75
7396,2021-10-20,-0.1875
7406,2021-10-21,0.5
7423,2021-10-22,-0.5
7437,2021-10-23,0.25
7442,2021-10-24,0.5
7451,2021-10-25,0.25
7454,2021-10-26,0.28354978354978355
7474,2021-10-27,0.65
7480,2021-10-28,0.5
7505,2021-10-29,-0.5
7527,2021-10-30,0.5
7529,2021-10-31,0.5
7539,2021-11-01,0.4866666666666667
7545,2021-11-02,0.31666666666666665
7559,2021-11-03,0.37575757575757573
7573,2021-11-04,0.5
7592,2021-11-05,1.0
7607,2021-11-06,-0.1
7611,2021-11-07,0.45
7630,2021-11-08,0.6666666666666666
7644,2021-11-09,0.5
7662,2021-11-10,-0.26666666666666666
7673,2021-11-11,0.37777777777777777
7682,2021-11-12,0.5
7698,2021-11-13,0.5
7701,2021-11-14,0.25
7716,2021-11-15,0.6
7731,2021-11-16,0.4
7745,2021-11-17,0.75
7768,2021-11-18,0.9
7785,2021-11-19,0.65
7796,2021-11-20,0.8
7802,2021-11-21,-0.5
7819,2021-11-22,0.45000000000000007
7837,2021-11-23,0.4
7841,2021-11-24,0.5
7865,2021-11-25,0.13636363636363635
7871,2021-11-26,0.5
7886,2021-11-27,0.5
7903,2021-11-28,0.75
7925,2021-11-29,0.5333333333333333
7941,2021-11-30,-0.5
