,abstract,headline,pub_date
47,"citing a steep increase in coronavirus cases and pressure on the national health service, scotland’s first minister, nicola sturgeon, announced a new lockdown on monday that will last until at least the end of january.",scotland goes back into lockdown as the new variant of the virus gains a foothold.,2021-01-04 19:51:51+00:00
48,"the sluggish pace of vaccinations has been particularly striking in new york city, the onetime epicenter of the pandemic.",new variant detected in new york amid growing crisis over vaccine rollout,2021-01-04 20:07:51+00:00
49,"nicola sturgeon, scotland’s first minister, announced on monday that the country will go back into lockdown until the end of january due to the increase of coronavirus cases from a newly discovered variant.",scotland will go into lockdown after coronavirus variant spread,2021-01-04 20:32:11+00:00
50,prime minister boris johnson addressing britons on monday.,it’s back to lockdown for britain as cases soar,2021-01-04 21:07:13+00:00
51,"the company, haven, had promised to disrupt the way large corporations deliver benefits to their employees.","amazon, berkshire and jpmorgan will end joint health care venture",2021-01-04 21:43:09+00:00
52,the police say a wisconsin pharmacist believed the moderna vaccine would harm people and tried to sabotage the effort to vaccinate frontline workers.,"pharmacist accused of tampering with vaccine was conspiracy theorist, police say",2021-01-04 22:34:39+00:00
53,here’s what you need to know at the end of the day.,"georgia, vaccine, u.k. lockdown: your monday evening briefing",2021-01-04 22:41:32+00:00
54,the united states is mired in a vaccine blame game.,coronavirus briefing: what happened today,2021-01-05 00:23:14+00:00
55,"mexico approved the oxford-astrazeneca coronavirus vaccine for emergency use on monday, the country’s top epidemiologist, hugo lópez-gatell, announced in a tweet on monday evening. it is the fourth country to approve the vaccine.",mexico approved the oxford-astrazeneca vaccine for emergency use.,2021-01-05 01:54:25+00:00
56,here’s what you need to know.,"britain, trump, coronavirus: your tuesday briefing",2021-01-05 03:22:41+00:00
57,"the food and drug administration late monday criticized an idea floated by one of the administration’s top vaccine officials for stretching the limited number of covid-19 vaccine doses, saying that a proposal for half-doses of the moderna vaccine was “premature and not rooted solidly in the available science.”",the f.d.a. opposes halving moderna vaccine doses.,2021-01-05 03:31:30+00:00
58,,"catch up: quibi shops its videos to roku, and a venture to disrupt health care shuts down.",2021-01-05 05:07:03+00:00
59,"social bubbles have helped us cope with the restrictions of covid-19. for today’s well challenge, look to your pandemic pod to inspire and motivate you toward a healthier and happier life.",how to get more from your pandemic bubble,2021-01-05 10:00:08+00:00
60,"the influenza outbreak killed more than 20,000 new yorkers and 675,000 americans. it might have dominated the news, if not for world war i.",echoes of another pandemic: how the times covered the 1918 flu,2021-01-05 10:00:08+00:00
61,a former momofuku employee’s account of a rage-fueled workplace is an all-too-familiar story. but it raises questions about how we treat restaurant staffs in the covid era.,"from toxic chefs to covid, restaurant workers deserve better",2021-01-05 10:00:19+00:00
62,"the  governor threatened penalties for hospitals that don’t increase the pace of inoculations, and  made more health care workers eligible.",can new york speed up the vaccine rollout?,2021-01-05 10:06:18+00:00
63,"president joko widodo hopes to begin inoculations soon, but the vaccine from the chinese company sinovac still needs approval from safety regulators and an influential council of muslim clerics.",is the vaccine halal? indonesians await the answer,2021-01-05 11:05:18+00:00
64,"a pharmacist who was arrested on charges that he intentionally sabotaged more than 500 doses of the covid-19 vaccine at a wisconsin hospital was “an admitted conspiracy theorist” who believed the vaccine could harm people and “change their dna,” according to the police in grafton, wis., where the man was employed.","a pharmacist accused of sabotaging vaccine doses is a conspiracy theorist, the police say.",2021-01-05 11:48:11+00:00
65,see how the leading vaccines train the immune system to fight the virus.,how nine covid-19 vaccines work,2021-01-05 14:06:55+00:00
66,"the largest health system in new york, led by a close ally of the governor, continued to sue over medical debt during the covid-19 crisis, even after other big hospitals suspended lawsuits.","one hospital system sued 2,500 patients after pandemic hit",2021-01-05 15:14:20+00:00
67,"cleveland announced that coach kevin stefanski, two members of his staff and two browns players’ positive tests will keep them out of sunday’s game against the pittsburgh steelers.",coronavirus will keep browns coach out of long-awaited playoff game,2021-01-05 17:09:04+00:00
68,the first two of more than a hundred planned locations in new york city opened on tuesday in an effort to speed up the pace.,vaccine rollout is sluggish. can these pop-up inoculation sites help?,2021-01-05 17:37:09+00:00
69,"programs in many countries have been hampered by slow-moving bureaucracies, a lack of nurses and shortages of vital equipment.","vaccine rollouts in europe are off to a shaky start, even as lockdowns expand",2021-01-05 18:43:27+00:00
70,"the delay comes less than four weeks before the ceremony was to be held, on jan. 31. the event will now be held on march 14.",grammy awards postponed as covid-19 rages in los angeles,2021-01-05 20:03:10+00:00
71,chancellor angela merkel of germany announced on tuesday that the country would extend the nationwide lockdown until the end of january amid the surge of coronavirus cases and the fear that the more contagious variant of the virus could spread.,merkel extends coronavirus lockdown in germany,2021-01-05 21:09:41+00:00
72,"experts advising the world health organization have recommended that the pfizer-biontech covid-19 vaccine be administered as recommended by its manufacturer, adding that countries with limited supplies of the vaccine could delay the second dose.",w.h.o. makes vaccine timetable recommendations,2021-01-05 21:09:46+00:00
73,"carmakers say new models should also help lift the industry in 2021, after a 15 percent decline in its slowest year since it recovered from the great recession.",the pandemic sank auto sales. vaccines could bring buyers back.,2021-01-05 23:06:40+00:00
74,new cases in california have surged and intensive care units in the state are overflowing.,coronavirus briefing: what happened today,2021-01-05 23:31:24+00:00
75,"after sandra lindsay became the first person in the united states to receive a covid-19 vaccination outside a clinical trial, something unexpected happened: she acquired a fan club.",second doses have begun for the earliest u.s. vaccine recipients.,2021-01-05 23:31:52+00:00
76,"the n.i.h. and moderna are examining whether doses of moderna’s coronavirus vaccine can be halved to double the supply, while scientists look for other ways to extend availability.","warning of shortages, researchers look to stretch vaccine supply",2021-01-05 23:59:14+00:00
77,the state has the highest rate of new virus cases in the u.s. amid a grim winter surge that has sent hospitalizations and deaths soaring nationally.,"arizona, roiled by covid in summer, faces even worse outbreak now",2021-01-06 00:31:21+00:00
78,"officials in california have painted an increasingly catastrophic picture of the state’s covid-19 crisis over the past several days, precisely what they had warned was coming, as the state faces an oxygen shortage.","as the coronavirus rages in california, l.a. medics are told to ration oxygen.",2021-01-06 00:55:43+00:00
79,"with anger swelling over a video clip purporting to show patients dying in a hospital after their oxygen was cut off, the authorities offered a counternarrative.",did oxygen outage kill covid patients in egypt? government says no,2021-01-06 03:53:02+00:00
80,"as we start another year, still in isolation, our clothing choices are getting increasingly weird.",pandemic dressing takes a dark turn,2021-01-06 10:00:08+00:00
81,"covering economic stimulus talks is no easy assignment. for starters, it doesn’t seem to end. here’s how the congressional reporter emily cochrane approached the task.",reporting on the long arc of covid relief,2021-01-06 10:00:12+00:00
82,"when the coronavirus began spreading through new york, gov. andrew m. cuomo ordered state-run hospitals to stop suing patients over unpaid medical bills, and almost all of the major private hospitals in the state voluntarily followed suit by suspending their claims.","the largest hospital system in new york sued 2,500 patients for unpaid medical bills after the pandemic hit.",2021-01-06 10:01:13+00:00
83,the european union drug regulator approved the moderna coronavirus vaccine on wednesday after moving up a decision that had been scheduled for later in january.,the e.u. drug regulator approves the moderna vaccine.,2021-01-06 12:48:58+00:00
84,"it’s not too late to curb the contagious variant’s spread in the u.s., experts say — but only with a national program for genetic sequencing.","u.s. is blind to contagious new virus variant, scientists warn",2021-01-06 18:15:59+00:00
85,"state restrictions, and a surge in enforcement, have pushed some bars underground. many have been hit with violations and face a challenging winter.","lap dances, karaoke, late hours: the speakeasies of the covid era",2021-01-06 19:19:05+00:00
86,thousands of people received convalescent plasma as an experimental treatment for covid. a new study shows that it works — but only when given within a few days of the onset of illness.,blood plasma reduces risk of severe covid-19 if given early,2021-01-06 22:00:09+00:00
87,"israel imposed a tighter lockdown as coronavirus infections soared, the variant spread, vaccines were running out and a debate erupted over the country’s responsibility to the palestinians.","after quick vaccine success, israel faces new virus woes",2021-01-06 22:27:51+00:00
88,public health experts say there is still time to contain the new variant.,coronavirus briefing: what happened today,2021-01-06 23:05:43+00:00
89,"hong kong’s abrupt new entry requirement — which has shaken travelers, domestic workers, airlines and hotels alike — stands out for its length and has been questioned by scientists.","a quarantine nightmare: three weeks in a hotel, if you can find one",2021-01-07 03:37:59+00:00
90,"representative jake laturner, republican of kansas, announced that he received a positive test result for the coronavirus on wednesday night, after he spent the day participating in a failed effort to stop congress from formally certifying president-elect joseph r. biden jr.’s victory.",a congressman who voted against certification tests positive for covid-19.,2021-01-07 09:58:35+00:00
91,"at the start of the pandemic, i was “dr. no” to my in-laws and cancer patients, but my conversations have become more nuanced.",the covid balancing act,2021-01-07 10:00:07+00:00
92,the situation is already devolving into chaos. we need new ideas.,four ways to fix the vaccine rollout,2021-01-07 10:00:12+00:00
93,"senate control opens up new possibilities, but the party will still need to contend with arcane rules and the challenges of a narrow majority.","with new majority, here’s what democrats can (and can’t) do on health care",2021-01-07 10:00:17+00:00
94,"new hampshire’s house of representatives, whose speaker died of the coronavirus, has refused to meet remotely.","as state legislatures aim to convene amid covid, one tries a drive-in",2021-01-07 10:00:29+00:00
95,jerusalem — israel faces a tightened lockdown this week as officials fear that the more transmissible british variant of the virus is spreading rapidly and its vaccine supplies are running low.,"once seen as a model, israel now imposes a tighter coronavirus lockdown.",2021-01-07 11:03:33+00:00
96,"sinovac biotech has sold more than 300 million doses to the developing world, filling a gap left by western countries.",a second chinese coronavirus vaccine is said to be effective,2021-01-07 15:50:39+00:00
97,two adenoviruses help prime the immune system to fight the coronavirus.,how gamaleya’s vaccine works,2021-01-07 18:02:26+00:00
98,readers discuss an op-ed that argued that pharmaceutical companies don’t deserve the public relations lift from the rapid vaccine development.,big pharma and the covid vaccines,2021-01-07 19:32:17+00:00
99,americans who default on their rent may find it hard to escape lasting effects on their financial future.,losing a home because of the pandemic is hard enough. how long should it haunt you?,2021-01-07 20:00:08+00:00
100,"french officials vowed to speed up their vaccination campaign on thursday, but warned that restrictions and curfews would remain in place in order to halt a rise in infections and hospitalizations.",france vows to speed up vaccinations as it warns that restrictions will remain in place for now.,2021-01-07 20:25:17+00:00
101,some scientists fear that the mayhem on capitol hill may prove to have been a so-called super-spreading event.,"a riot amid a pandemic: did the virus, too, storm the capitol?",2021-01-07 20:29:02+00:00
102,"an outbreak aboard a september flight from dubai to new zealand offers researchers, and airlines, an opportunity to study in-transit contagion.","one 18-hour flight, four coronavirus infections",2021-01-07 22:50:21+00:00
103,will the capitol riot become a super-spreader event?,coronavirus briefing: what happened today,2021-01-07 22:53:52+00:00
104,"in a boost to israel’s vaccination campaign, prime minister benjamin netanyahu announced on thursday that he had reached an agreement with pfizer that will enable all israelis above age 16 to be inoculated against covid-19 by the end of march.",israel reaches a deal with pfizer for enough vaccine to inoculate all its population over 16 by the end of march.,2021-01-07 23:31:02+00:00
105,the list of states to identify the dangerous new coronavirus variant is growing.,more states are detecting the highly contagious virus variant.,2021-01-08 00:12:44+00:00
106,"california, confronting its worst surge of coronavirus infections yet, is loosening its vaccine protocol in an effort to avoid wasting covid-19 vaccines.",california is loosening its vaccine eligibility rules.,2021-01-08 03:17:08+00:00
107,"many young italians who left for opportunities abroad are now working remotely from italy. the government has welcomed them, but experts say the economic benefits will be fleeting.",the pandemic helped reverse italy’s brain drain. but can it last?,2021-01-08 05:10:07+00:00
108,test your knowledge of this week’s health news.,"weekly health quiz: coconut oil, coronavirus and exercise goals",2021-01-08 10:00:06+00:00
109,they probably won’t have much success. but that won’t stop them from trying.,how the wealthy are maneuvering to get the vaccine first,2021-01-08 10:00:09+00:00
110,"whether it’s a person or an app that sends us reminders, we make better choices when we’re being watched (even by ourselves.)","to create a healthy habit, find an accountability buddy",2021-01-08 10:00:16+00:00
111,"a reader writes in, saying he can’t ski because he can’t get into the state. it’s a very 2020 — wait, 2021 — travel predicament.","help! despite state travel restrictions, i can’t get my ski pass refunded",2021-01-08 10:00:23+00:00
112,"while some child welfare systems have pivoted to a remote reality, advocates say it hasn’t been uniform or quick enough for the country’s 400,000 foster kids.",foster care was always tough. covid-19 made it tougher.,2021-01-08 10:00:23+00:00
113,"dr. stephanie sterling, an infectious disease expert, treats patients and oversees vaccination efforts and trials.",how the head of a vaccine research clinic spends her sundays,2021-01-08 10:00:24+00:00
114,"friday: a family-owned restaurant went from being a popular buffet spot to only serving takeout food overnight. ten months later, it is still here.",how restaurants have weathered the pandemic,2021-01-08 13:57:22+00:00
115,"among the reasons for optimism: the prospect of widespread vaccination, and a congress more open to stimulus spending.","the december numbers were awful, but the economy has a clear path to health",2021-01-08 15:02:46+00:00
116,"in a sharp break with the trump administration, president-elect joseph r. biden jr. intends to release nearly all available doses of the coronavirus vaccine soon after he is inaugurated, rather than hold back millions of vials to guarantee second doses will be available.",biden plans to release nearly all available vaccine doses in an attempt to speed delivery.,2021-01-08 16:32:41+00:00
117,"three million more people will be permitted to schedule vaccinations, including those 75 and older, as the campaign in new york gets off to a dispiriting start.",cuomo widens eligibility after vaccine goes unused or is even thrown out,2021-01-08 16:38:12+00:00
118,the big dip in mortality shown in the trial of about 800 patients has caught some experts by surprise because previous studies of the drugs showed little benefit.,"2 arthritis drugs reduce deaths in very ill covid patients, study finds",2021-01-08 16:51:41+00:00
119,"president-elect joseph r. biden jr. formally announced nearly two dozen members of his national security council staff on friday, including a senior official for global health threats whose office was downgraded before the coronavirus pandemic.","announcing national security council staff appointees, biden restores the office for global health threats.",2021-01-08 16:55:18+00:00
120,read the letter the governors sent to top officials at the department of health and human services.,8 governors demand the release of more vaccine doses,2021-01-08 17:10:28+00:00
121,"mayor bill de blasio pushed the state to allow new york city to vaccinate essential workers and older residents for covid-19, saying the city had 270,000 doses it could administer to new yorkers over 75 if the state allowed it.",‘why would we not help seniors?’ de blasio presses state on vaccines,2021-01-08 17:31:13+00:00
122,"public health officials are using eventbrite’s online ticketing platform to schedule shots. but appointments are still hard to find, and not everyone knows how to use the website.",vaccine demand has health officials turning to eventbrite,2021-01-08 17:40:26+00:00
123,"ursula von der leyen, president of the european commission, announced on friday that it has secured additional doses of the pfizer-biontech vaccine, enough vaccines to inoculate 80 percent of the bloc’s population.",e.u. secures 300 million additional doses of pfizer-biontech vaccine,2021-01-08 20:05:26+00:00
124,"appointed head of the incoming administration’s task force on health equity, the yale university scientist “is not sitting in her ivory tower.”",dr. marcella nunez-smith takes aim at racial gaps in health care,2021-01-08 20:05:57+00:00
125,"the coronavirus, a force of death and destruction, is also pushing artists and musicians to be more creative.",a polarizing canadian ‘messiah’ shows how pandemic is shaking up culture,2021-01-08 20:23:47+00:00
126,a new york times reporter juggled fears engendered by the politicized rollout of the sputnik v vaccine with the urge to gain protection from the deadly virus.,why i got the russian vaccine,2021-01-08 21:18:37+00:00
127,"it’s good news, but experts cautioned that the new variants from britain and south africa also carry other potentially dangerous mutations that have not yet been investigated.",pfizer says its vaccine works against key mutation in contagious variants,2021-01-08 21:26:32+00:00
128,the philadelphia 76ers and nets continued a game even though a player who had been on the bench learned during play that he had tested positive for the coronavirus.,sixers’ positive virus test challenges n.b.a.’s health protocol,2021-01-08 23:07:12+00:00
129,the biden administration said it would release nearly all available doses later this month.,coronavirus briefing: what happened today,2021-01-08 23:08:10+00:00
130,here’s what you need to know at the end of the day.,"impeachment, coronavirus, 52 places: your friday evening briefing",2021-01-08 23:12:09+00:00
131,"u.s. employment fell by 140,000 in december as virus cases surged. leisure and hospitality businesses were hit hard, but some industries showed growth.",jobs recovery goes into reverse as pandemic takes a new toll,2021-01-08 23:14:27+00:00
132,"a large study of patients from a wuhan, china, hospital showed that a half-year later, three-quarters were struggling with problems like fatigue, depression and diminished lung function.","6 months after leaving the hospital, covid survivors still face lingering health issues",2021-01-08 23:30:10+00:00
133,"reports of a highly contagious new variant, published on friday by multiple news outlets, were based on speculative statements made by dr. deborah birx.",false reports of a new ‘u.s. variant’ came from white house task force,2021-01-08 23:50:27+00:00
134,"with job losses, record coronavirus numbers and politics in turmoil after the storming of the capitol, the president-elect pressed for quick passage of a stimulus package to help struggling americans.","facing intensifying crises, biden pledges action to address economy and pandemic",2021-01-09 01:02:15+00:00
135,"the incoming biden administration plans to set up federally run mass vaccination sites and to release all government-held vials, rather than hold some back for second doses.",biden plans coronavirus vaccination blitz after inauguration,2021-01-09 01:08:35+00:00
136,"the policy, set to take effect next week, would have closed the doors of the united states to most asylum seekers.",a judge has blocked trump’s sweeping restrictions on asylum applications.,2021-01-09 02:42:33+00:00
137,"a south african tip led to the discovery of mutations around the world. with infections skyrocketing, “it’s a race against time.”","as coronavirus mutates, the world stumbles again to respond",2021-01-09 08:00:17+00:00
138,"blocked from obtaining vaccines from the united states, its putative ally, and taunted in russian propaganda, ukraine turned to china.","in vaccine geopolitics, a great game played with ukrainians’ health",2021-01-09 14:00:27+00:00
139,president-elect joseph r. biden jr. on friday promised an accelerated response to a daunting and intensifying array of challenges as the economy showed new signs of weakness and the coronavirus pandemic killed more americans than ever.,biden pledges action on the pandemic and the economy.,2021-01-09 14:56:11+00:00
140,"parliament has approved an emergency law allowing the government to place limits on public places, fine individuals and order businesses to close down.","with new law, sweden gains power to impose coronavirus restrictions",2021-01-09 16:00:08+00:00
141,"some states are already expanding eligibility to people 65 and over, even though millions of people the c.d.c. recommends go first — health care workers and nursing home residents — have yet to get shots.",pressure grows for states to open vaccines to more groups of people,2021-01-09 17:00:12+00:00
142,"saying he will be vaccinated himself next week, francis described the refusal to get the vaccine as suicidal.",pope calls coronavirus vaccinations an ethical obligation,2021-01-09 19:03:41+00:00
143,"singapore’s three major universities have reported zero cases. their secret: technology, tough penalties and students willing to comply.",how singapore has kept the coronavirus off campus,2021-01-09 19:10:33+00:00
144,"when the city of san antonio’s covid-19 vaccination registration site went live at 9 a.m. on saturday, the 9,000 available slots filled up in six minutes. in michigan, more than 20,000 people tried to enter a health system’s portal for covid vaccinations at the same time, crippling the system.","vaccine registration sites are opening across the country, and filling up in minutes.",2021-01-09 20:44:41+00:00
145,"the decision by secretary of state mike pompeo is meant to signal a warming of relations with taipei and a tougher line with beijing, but the biden administration could easily reverse the move.",state dept. moves to ease restrictions on meeting with taiwan officials,2021-01-10 00:41:14+00:00
146,"starting a new habit is hard. to make it easier, try recycling an old one instead, building on lessons you learned from pandemic living.",recycle your pandemic habits,2021-01-10 04:05:05+00:00
147,new world. new rules. same old problems.,true stories of hooking up during covid-19,2021-01-10 08:00:10+00:00
148,here’s what you need to know about the week’s top stories.,"impeachment, coronavirus, n.f.l. playoffs: your weekend briefing",2021-01-10 11:10:35+00:00
149,"warning that vaccines are the only backstop the country has against fast-spreading new variants of the coronavirus, dr. scott gottlieb, the former commissioner of the food and drug administration, said sunday that federal and state leaders need to “hit the reset and adopt a new strategy” to get far more shots into arms as soon as possible.","the u.s. vaccine rollout needs to ‘hit the reset,’ an ex-f.d.a. chief says.",2021-01-10 18:07:36+00:00
150,"while sheltering in a secure location as a mob of trump supporters stormed the capitol on wednesday, house lawmakers may have been exposed to someone who was infected with the coronavirus, congress’s office of the attending physician said on sunday.","lawmakers may have been exposed to the coronavirus while sheltering during the capitol riot, a doctor says.",2021-01-10 18:26:51+00:00
151,for-profit experiential art centers are investing hundreds of millions of dollars in a business where audiences have evaporated because of the pandemic.,entrepreneurs bet big on immersive art despite covid-19,2021-01-10 18:32:49+00:00
